Accession,Gene,Description,KO_MG132,WT_MG132,WT_Untreated,Ratio_1,Ratio_2
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10,321473.3,583482.9,82429.3,7.078586134,1.815027562
P00338,LDHA,L-lactate dehydrogenase A chain,3258834.1,5586390,3696263.7,1.511361324,1.714229638
P01106,MYC,Myc proto-oncogene protein,1819631.7,4100047.6,1319663.9,3.106887746,2.253229376
P02654,APOC1,Apolipoprotein C-I,493344.1,1265971.6,172623.2,7.333728027,2.566102645
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,1387994.4,3164830.2,1848715,1.711908109,2.280146231
P0C0S5,H2AFZ,Histone H2A.Z,84163.3,219581.8,0.1,2195818,2.608997033
P16403,HIST1H1C,Histone H1.2,577603.1,870942.6,455778.5,1.910890049,1.507856519
P19367,HK1,Hexokinase-1,882839.9,1811052.8,379189.5,4.776115372,2.051394369
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,135888.7,233410.7,98059,2.380308794,1.71766085
P26373,RPL13,60S ribosomal protein L13,905984.5,1479616.2,567487.1,2.607312483,1.633158404
P27635,RPL10,60S ribosomal protein L10,3448739.7,5997760.4,347548.8,17.25731868,1.739116582
P30085,CMPK1,UMP-CMP kinase,540078.3,957128.8,565633.2,1.692136883,1.772203771
P35251,RFC1,Replication factor C subunit 1,583407.7,1237914.9,652610.5,1.896866354,2.121869321
P36578,RPL4,60S ribosomal protein L4,4011836.3,8265602.2,5056665.2,1.634595504,2.060303956
P41567,EIF1,Eukaryotic translation initiation factor 1,2434121,4988719.9,901243.4,5.535374683,2.049495444
P43487,RANBP1,Ran-specific GTPase-activating protein,1303828.2,2032439.2,999554.2,2.033345665,1.558824391
P83731,RPL24,60S ribosomal protein L24,5477973.9,11863460.9,7274306,1.630871852,2.165665831
Q01196,RUNX1,Runt-related transcription factor 1,81445.7,212243.1,43857,4.839434982,2.605946047
Q07020,RPL18,60S ribosomal protein L18,2331784.9,4572769.3,2066720.8,2.212572351,1.961059659
Q13571,LAPTM5,Lysosomal-associated transmembrane protein 5,161571,989876.7,252131.5,3.926033439,6.126574076
Q13772,NCOA4,Nuclear receptor coactivator 4,925718.2,1983803.9,86117.9,23.03590659,2.142988979
Q14527,HLTF,Helicase-like transcription factor,500022.6,885019.1,160537.4,5.51285308,1.769958198
Q5TDH0,DDI2,Protein DDI1 homolog 2,2640110.3,7147851.6,3732910,1.914820234,2.707406429
Q8ND90,PNMA1,Paraneoplastic antigen Ma1,126040.9,325629.6,0.1,3256296,2.583523285
Q96GG9,DCUN1D1,DCN1-like protein 1,1446354.6,2404497.2,1472274.2,1.63318572,1.662453454
Q9BSL1,UBAC1,Ubiquitin-associated domain-containing protein 1,18805854.4,28820061.2,11842148.4,2.433685192,1.53250475
Q9H6K1,C6ORF106,Uncharacterized protein C6orf106,1439673.7,3333317.7,1775236.2,1.877675602,2.315328605
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1,1001532.5,2026965.5,703732.2,2.880308021,2.023863929
Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,1074058.8,1666423.3,1062257.3,1.568756741,1.551519619
Q9UJ41,RABGEF1,Rab5 GDP/GTP exchange factor,1672818.7,2723576.9,1498521.7,1.817509149,1.628136331
Q9UNL2,SSR3,Translocon-associated protein subunit gamma,735668.6,1809625.3,0.1,18096253,2.459837623
Q9Y3T9,NOC2L,Nucleolar complex protein 2 homolog,1534612.4,2500496.3,479919.4,5.210242178,1.629399254
Q9Y4E5,ZNF451,E3 SUMO-protein ligase ZNF451,1753731,3258092,1573681.2,2.070363426,1.857806015
